TB,Pad8593,Pad8595,Pad7934,Pad6689,Pad9164
105,2.29122,1.61984,-0.290879,-0.937086,0.583122
106,0.933231,1.1865,-0.0672989,0.39378,0.136485
107,-0.563903,1.2196,-0.45025,0.765428,0.223902
108,-0.738715,1.22755,-1.12278,-0.259388,0.870976
109,0.240662,0.668851,-1.12153,-1.12657,1.54924
110,0.919516,0.579609,-0.533228,-1.03989,1.3891
111,0.578395,1.30826,-0.475712,-0.515947,0.76836
112,0.263962,1.25858,-0.971784,-0.143037,0.50766
113,0.379848,0.208729,-1.06818,-0.673347,0.877363
114,0.666461,-0.233459,-0.459982,-0.858685,1.49767
115,0.778996,0.429446,-0.148633,0.199355,1.92972
116,0.58302,1.37777,-0.458038,1.09655,1.96119
117,0.295375,1.89129,-0.753051,0.595273,1.69994
118,0.254823,1.94487,-0.783345,-0.539313,1.40997
119,1.02175,1.34692,-0.772134,-1.11786,1.19366
120,1.92129,0.72263,-1.0473,-0.752341,1.08259
121,1.56271,0.613303,-1.36369,-0.0449612,1.22836
122,0.426312,0.894249,-1.07383,0.191898,1.36916
123,0.275287,0.922588,-0.272907,-0.239717,1.5735
124,1.4584,0.491923,-0.0771327,-1.19522,2.33616
125,2.54359,0.245979,-0.542665,-1.5129,3.33743
126,2.13108,0.674726,-0.572995,-0.46751,3.51473
127,0.483103,1.29599,-0.341009,0.47956,2.67393
128,-0.175598,1.42455,-0.695071,0.0910915,1.93315
129,0.71601,1.3661,-1.1763,-1.01662,2.27823
130,1.53927,1.44399,-0.667934,-1.77117,3.47467
131,1.4875,1.50756,0.294515,-2.08363,4.67938
132,1.06044,1.29972,0.486724,-1.87768,5.10217
133,1.11914,0.90076,-0.00216331,-1.18637,5.25368
134,1.73158,0.767218,-0.826393,-0.59682,5.57652
135,2.13944,1.37295,-1.54021,-0.504606,5.95948
136,1.73189,2.45559,-1.80246,-0.760431,6.47889
137,1.13197,3.0197,-1.72858,-0.77365,7.20084
138,0.972575,2.71511,-1.33165,-0.296029,8.25969
139,1.14428,2.28209,-0.635218,0.260928,9.91758
140,1.59236,2.16796,0.165227,0.296164,12.4551
141,2.16395,2.16356,0.582365,-0.348695,16.0163
142,2.03428,2.29316,0.487667,-0.757283,21.357
143,1.36571,2.43409,-0.0509404,-0.714942,29.6345
144,1.20584,2.27055,-0.621073,-0.749809,41.265
145,1.69869,2.07291,-0.753736,-0.4918,55.0377
146,1.94745,2.21863,-0.363098,-0.1602,69.7402
147,1.70809,2.62597,-0.172847,-0.456709,85.7158
148,1.39545,3.27545,-0.788981,-0.993903,103.654
149,1.48205,3.5686,-1.45048,-0.765189,122.954
150,1.54647,3.14428,-1.3919,-0.00454412,140.909
151,1.14795,2.5713,-0.800846,-0.0151467,154.926
152,0.714022,2.51833,-0.432681,-0.528549,165.38
153,1.35413,2.64211,-0.474651,-0.843994,173.726
154,2.57994,2.6843,-0.56729,-0.74949,178.747
155,2.61565,2.22562,-0.645795,-0.455671,176.884
156,1.53275,1.68065,-0.611981,-0.483675,166.189
157,0.910419,1.61851,-0.727703,-0.911166,149.634
158,1.42286,1.98375,-0.826864,-1.04239,132.655
159,1.93546,2.22314,-0.786334,-0.562853,117.845
160,1.62769,1.94213,-0.477939,-0.253786,103.499
161,1.36638,1.89782,-0.137793,-0.472378,87.6285
162,1.76038,2.71227,0.0138478,-1.05881,70.7048
163,2.3917,3.87475,-0.391293,-1.47699,54.517
164,2.3901,4.31456,-1.2064,-1.19771,40.7059
165,1.99331,3.4313,-1.20799,-0.47195,30.3703
166,2.09576,2.00056,-0.0803597,-0.241205,23.4775
