TB,Pad8593,Pad8595,Pad7934,Pad6689,Pad9164
489,0.778177,3.1133,1.52966,0.788404,-0.190639
490,0.100476,3.13097,2.24672,0.989746,1.49941
491,0.780161,3.40437,3.29617,2.3609,2.91518
492,1.68759,3.31101,3.64041,3.0859,2.93333
493,1.56979,2.70122,2.93847,2.12318,1.34437
494,0.67026,1.80424,2.1953,0.898447,-0.543765
495,0.603801,1.61191,2.11644,1.07189,-0.543372
496,1.54892,2.26338,2.4808,2.22411,0.939652
497,2.39474,2.40862,2.68381,2.64893,2.22097
498,2.30986,1.85332,2.43928,2.05483,2.19847
499,1.3842,1.51642,2.1277,1.74082,1.5689
500,0.755231,1.81745,1.92207,2.44225,1.40099
501,1.02986,2.22736,1.33241,3.20801,1.58487
502,1.53833,2.41418,0.531686,2.63277,1.57723
503,1.452,2.22123,0.388892,0.854455,0.642154
504,0.670817,1.63218,1.07192,-0.251197,0.155838
505,0.872328,2.16545,2.7842,1.28593,2.36637
506,3.35164,4.65112,5.74221,4.88651,6.28498
507,5.67188,7.06378,7.84467,7.42112,7.31963
508,3.72076,5.47016,5.2073,4.92826,1.25462
509,-3.00681,-0.8054,-1.88127,-2.76793,-9.59271
510,-8.00854,-6.10151,-6.67944,-9.16617,-15.8752
511,-4.70943,-4.37251,-3.86953,-6.40586,-8.22962
