Pad,CoBo,Asad,Aget,Ch
317,8,3,3,37
318,8,3,3,23
319,8,3,3,5
320,8,3,3,1
321,8,3,2,0
322,8,3,3,36
323,8,3,2,30
324,8,3,1,1
325,8,3,2,44
326,8,3,2,67
327,8,3,3,51
328,8,3,2,49
329,8,3,3,49
330,8,3,3,53
331,8,3,2,20
332,8,3,3,62
333,8,3,3,24
334,8,3,3,21
335,8,3,3,66
336,8,3,3,17
337,8,3,2,2
338,8,3,2,8
339,8,3,3,13
340,8,3,2,13
341,8,3,3,6
342,8,3,3,2
343,2,0,0,63
344,8,3,3,30
345,2,0,0,57
346,2,0,0,54
347,8,3,3,34
348,2,0,0,50
349,8,3,3,38
350,8,3,3,44
351,2,0,0,46
352,2,0,0,43
353,2,0,0,39
354,2,0,0,35
355,2,0,0,37
356,2,0,0,27
357,2,0,0,31
358,2,0,0,25
359,2,0,0,64
360,2,0,0,62
361,2,0,0,60
362,2,0,1,31
363,4,1,1,55
364,2,0,1,25
365,2,0,1,61
366,2,0,1,41
367,2,0,0,30
368,2,0,1,29
369,2,0,0,2
370,2,0,1,40
371,2,0,0,32
372,2,0,2,43
373,2,0,0,10
374,2,0,0,0
375,2,0,2,35
376,2,0,1,49
377,2,0,2,27
378,2,0,2,20
379,2,0,1,36
380,2,0,2,14
381,2,0,1,26
382,2,0,2,1
383,2,0,2,5
384,2,0,3,61
385,2,0,3,67
386,2,0,3,60
387,2,0,3,54
388,2,0,3,51
389,2,0,3,46
390,2,0,3,41
391,2,0,3,44
392,2,0,3,31
393,2,0,3,36
394,2,0,3,28
395,2,0,3,25
396,2,0,3,21
397,2,0,3,18
398,2,0,3,10
399,2,0,3,17
400,2,0,3,8
401,2,0,3,6
402,2,0,3,4
403,2,0,3,5
404,2,0,3,2
405,2,0,3,0
406,2,0,2,63
407,2,0,3,19
408,2,0,2,47
409,2,1,2,66
410,2,1,2,60
411,2,0,2,24
412,2,1,2,53
413,2,0,1,28
414,2,0,3,32
415,2,1,2,51
416,2,0,3,13
417,2,1,2,16
418,2,1,2,14
419,2,1,2,40
420,2,1,1,4
421,2,1,2,38
422,2,1,2,36
423,2,1,2,12
424,2,1,3,63
425,2,1,2,7
426,2,1,2,5
427,2,1,3,57
428,2,1,3,47
429,2,1,3,54
430,2,1,3,41
431,2,1,3,44
432,2,1,3,35
433,2,1,3,29
434,2,1,3,12
435,2,1,3,31
436,2,1,3,19
437,2,1,3,9
438,2,1,3,15
439,2,1,3,28
440,9,2,0,27
441,0,0,2,28
442,0,0,3,62
443,0,0,3,58
444,0,0,3,38
445,0,0,3,36
446,0,0,3,24
447,0,1,3,23
448,0,1,3,35
449,0,1,3,37
450,0,1,3,61
451,0,1,3,57
452,0,1,2,27
453,5,1,0,28
454,0,2,3,14
455,0,2,3,27
456,0,2,3,10
457,0,2,3,18
458,0,2,3,13
459,0,2,3,32
460,0,2,3,30
461,0,2,3,36
462,0,2,3,42
463,0,2,3,43
464,0,2,3,55
465,0,2,3,46
466,0,2,2,6
467,0,2,3,58
468,0,2,2,8
469,0,2,3,64
470,0,2,2,35
471,0,2,2,13
472,0,2,2,37
473,0,2,1,3
474,0,2,2,15
475,0,2,2,39
476,0,2,2,17
477,0,3,3,12
478,0,3,3,31
479,0,2,2,50
480,0,3,1,27
481,0,2,2,52
482,0,2,2,59
483,0,3,2,23
484,0,2,2,65
485,0,3,2,46
486,0,3,2,64
487,0,3,3,18
488,0,3,3,0
489,0,3,3,1
490,0,3,3,3
491,0,3,3,6
492,0,3,3,5
493,0,3,3,7
494,0,3,3,9
495,0,3,3,16
496,0,3,3,19
497,0,3,3,20
498,0,3,3,27
499,0,3,3,26
500,0,3,3,35
501,0,3,3,32
502,0,3,3,42
503,0,3,3,43
504,0,3,3,47
505,0,3,3,50
506,0,3,3,59
507,0,3,3,55
508,0,3,2,0
509,0,3,3,62
510,0,3,2,2
511,0,3,2,6
512,0,3,1,25
513,0,3,2,15
514,0,3,2,21
515,0,3,1,35
516,0,3,2,28
517,0,3,1,48
518,0,3,1,67
519,0,3,2,36
520,0,3,0,9
521,0,3,2,44
522,0,3,1,39
523,0,3,0,31
524,0,3,0,1
525,0,3,1,30
526,0,3,1,42
527,0,3,0,29
528,0,3,1,62
529,0,3,1,26
530,0,3,1,32
531,3,0,1,54
532,0,3,0,59
533,0,3,0,61
534,0,3,0,26
535,0,3,0,63
536,0,3,0,32
537,0,3,0,28
538,0,3,0,36
539,0,3,0,38
540,0,3,0,40
541,0,3,0,44
542,6,0,3,43
543,0,3,0,47
544,6,0,3,37
545,0,3,0,51
546,0,3,0,55
547,6,0,3,33
548,0,3,0,58
549,6,0,3,29
550,6,0,3,1
551,0,3,0,64
552,6,0,3,5
553,6,0,2,12
554,6,0,2,7
555,6,0,3,12
556,6,0,2,1
557,6,0,3,16
558,6,0,3,20
559,6,0,3,65
560,6,0,3,23
561,6,0,3,61
562,6,0,3,52
563,6,0,2,21
564,6,0,3,48
565,6,0,2,48
566,6,0,1,0
567,6,0,3,50
568,6,0,2,43
569,6,0,1,2
570,6,0,2,29
571,6,0,3,35
572,6,0,3,67
573,6,0,3,2
574,6,0,3,6
575,6,0,3,24
576,6,0,3,38
577,6,0,3,55
578,6,0,2,2
579,6,0,2,19
580,6,0,2,36
581,6,0,2,51
582,6,0,2,66
583,6,0,1,9
584,6,0,1,13
585,6,0,1,15
586,6,0,1,24
587,6,0,1,40
588,6,1,1,54
589,6,1,0,1
590,6,1,0,18
591,6,1,0,33
592,6,1,0,50
593,6,1,0,65
594,8,3,0,67
595,8,3,0,52
596,8,3,0,35
597,8,3,0,20
598,8,3,0,3
599,8,3,1,57
600,8,3,1,42
601,8,3,1,28
602,8,3,1,10
603,8,3,1,13
604,8,3,1,8
605,8,3,1,0
606,8,3,2,51
607,8,3,2,36
608,8,3,2,19
609,8,3,2,4
610,8,3,3,58
611,8,3,3,40
612,8,3,3,26
613,8,3,3,8
614,8,3,3,0
615,8,3,2,48
616,8,3,2,63
617,8,2,2,6
618,8,2,3,64
619,8,3,2,28
620,8,3,2,17
621,8,3,2,24
622,8,3,2,55
623,8,3,2,32
624,8,3,2,58
625,8,3,2,60
626,8,3,2,38
627,8,3,2,62
628,8,3,2,42
629,8,3,2,47
630,8,3,2,64
631,8,3,2,53
632,8,3,2,66
633,2,0,0,59
634,2,0,0,67
635,2,0,1,67
636,2,0,0,61
637,2,0,0,52
638,2,0,1,63
639,2,0,0,48
640,2,0,1,37
641,2,0,1,52
642,2,0,0,41
643,2,0,1,23
644,2,0,0,33
645,2,0,0,9
646,2,0,1,16
647,2,0,0,20
648,2,0,1,14
649,2,0,1,12
650,2,0,0,58
651,2,0,0,24
652,2,0,1,35
653,2,0,1,7
654,2,0,1,9
655,2,0,1,1
656,2,0,1,5
657,2,0,1,3
658,2,0,2,67
659,2,0,2,66
660,2,0,2,65
661,2,0,2,54
662,2,0,2,60
663,2,0,2,48
664,2,0,2,51
665,2,0,2,44
666,2,0,2,41
667,2,0,2,40
668,2,0,2,32
669,2,0,2,26
670,2,0,2,30
671,2,0,2,19
672,2,0,2,21
673,2,0,2,17
674,2,0,2,10
675,2,0,2,6
676,2,0,2,2
677,2,0,3,64
678,2,1,3,67
679,2,0,3,58
680,2,1,3,59
681,2,1,3,52
682,2,0,3,49
683,2,1,3,43
684,2,0,3,42
685,2,0,3,34
686,2,1,3,37
687,2,1,3,25
688,2,1,3,27
689,2,1,1,1
690,2,1,3,23
691,2,1,3,14
692,2,1,3,20
693,2,1,3,18
694,2,1,3,7
695,2,1,2,18
696,2,1,3,3
697,2,1,2,65
698,2,1,2,23
699,2,1,2,57
700,2,1,2,25
701,2,1,2,35
702,2,1,2,61
703,2,1,2,39
704,2,1,2,63
705,2,1,3,64
706,2,1,2,43
707,2,1,3,58
708,2,1,2,48
709,2,1,2,50
710,2,1,3,55
711,2,1,2,54
712,2,1,3,51
713,2,1,3,49
714,2,1,2,1
715,2,1,2,32
716,2,1,3,16
717,2,1,3,46
718,2,1,2,2
719,2,1,2,15
720,2,1,2,4
721,2,1,3,17
722,2,1,2,17
723,4,2,3,1
724,2,1,2,21
725,2,1,2,24
726,4,2,2,21
727,2,1,2,26
728,0,0,3,7
729,0,0,3,23
730,0,0,3,20
731,0,0,2,36
732,0,0,2,30
733,0,0,3,55
734,0,0,3,53
735,0,0,3,40
736,0,0,3,44
737,0,1,3,27
738,0,0,3,28
739,0,1,3,43
740,0,1,3,39
741,0,1,3,54
742,0,1,3,52
743,0,1,2,29
744,0,1,2,35
745,0,1,3,24
746,0,1,3,21
747,0,1,3,8
748,0,2,2,25
749,0,2,2,23
750,2,3,2,20
751,0,2,2,20
752,2,3,3,2
753,0,2,3,16
754,0,2,2,16
755,0,2,2,3
756,0,2,2,14
757,0,2,3,47
758,0,2,2,1
759,0,2,3,17
760,0,2,2,31
761,0,2,3,48
762,0,2,2,2
763,0,2,3,50
764,0,2,2,55
765,0,2,2,51
766,0,2,3,54
767,0,2,2,49
768,0,2,3,57
769,0,2,3,63
770,0,2,2,44
771,0,2,2,64
